start;end;reason;emissionId
1609486431881;1609486431881;Rusty pipe;1
1609516459368;1609516478995;Frozen pipe;2
1609607028477;1609607091069;Clogs;3
1609775433576;1609775501685;Rusty pipe;4
1610008191408;1610008211281;Frozen pipe;5
1610241240002;1610241296195;Vacuum implosion;6
1610326703688;1610326769042;Rusty pipe;7
1610389882131;1610389928933;Vacuum implosion;8
1610617403732;1610617461234;Too high pressure in;9
1610642394620;1610642450078;Too high pressure in;10
1610788981635;1610789038003;O-ring broken;11
1610943208712;1610943291215;impact damage;12
1611096079005;1611096141289;Clogs;13
1611151927006;1611151957318;Ventil broke;14
1611282829543;1611282867641;Tree root enchroachment;15
1611401111221;1611401137578;Too high pressure in;16
1611511652226;1611511713544;O-ring broken;17
1611622557972;1611622629697;Rusty pipe;18
1611659147526;1611659200878;O-ring broken;19
1611898487307;1611898495404;Too high pressure in;20
1612064948304;1612064985829;Ventil broke;21
1612186433241;1612186517340;Rusty pipe;22
1612404698219;1612404760147;Vacuum implosion;23
1612556911369;1612556946634;Corrosion;24
1612619955350;1612620009988;Corrosion;25
1612723999771;1612724072408;Corrosion;26
1612970704570;1612970762560;Clogs;27
1613215506227;1613215532566;Frozen pipe;28
1613259588807;1613259624224;Vacuum implosion;29
1613305582285;1613305642868;Ventil broke;30
1613320533007;1613320558279;impact damage;31
1613447407946;1613447462446;Corrosion;32
